"","V1"
"inaug_GeorgeWashington_1_2",3
"inaug_GeorgeWashington_1_3",10
"inaug_GeorgeWashington_1_4",10
"inaug_GeorgeWashington_1_5",10
"inaug_GeorgeWashington_1_6",10
"inaug_GeorgeWashington_1_7",10
"inaug_GeorgeWashington_1_8",3
"inaug_GeorgeWashington_1_9",3
"inaug_GeorgeWashington_1_10",3
"inaug_GeorgeWashington_1_11",3
"inaug_GeorgeWashington_1_12",6
"inaug_GeorgeWashington_1_13",12
"inaug_GeorgeWashington_1_14",12
"inaug_GeorgeWashington_1_15",9
"inaug_GeorgeWashington_1_16",9
"inaug_GeorgeWashington_1_17",9
"inaug_GeorgeWashington_1_18",3
"inaug_GeorgeWashington_1_19",10
"inaug_GeorgeWashington_1_20",11
"inaug_GeorgeWashington_1_21",15
"inaug_GeorgeWashington_1_22",15
"inaug_GeorgeWashington_1_23",12
"inaug_GeorgeWashington_1_24",10
"inaug_GeorgeWashington_1_25",12
"inaug_GeorgeWashington_1_26",6
"inaug_GeorgeWashington_1_27",10
"inaug_GeorgeWashington_1_28",10
"inaug_GeorgeWashington_1_29",10
"inaug_GeorgeWashington_1_30",10
"inaug_JohnAdams_1_2",2
"inaug_JohnAdams_1_3",2
"inaug_JohnAdams_1_4",12
"inaug_JohnAdams_1_5",12
"inaug_JohnAdams_1_6",9
"inaug_JohnAdams_1_7",9
"inaug_JohnAdams_1_8",3
"inaug_JohnAdams_1_9",11
"inaug_JohnAdams_1_10",3
"inaug_JohnAdams_1_11",3
"inaug_JohnAdams_1_12",3
"inaug_JohnAdams_1_13",12
"inaug_JohnAdams_1_14",12
"inaug_JohnAdams_1_15",12
"inaug_JohnAdams_1_16",3
"inaug_JohnAdams_1_17",3
"inaug_JohnAdams_1_18",11
"inaug_JohnAdams_1_19",12
"inaug_JohnAdams_1_20",12
"inaug_JohnAdams_1_21",9
"inaug_JohnAdams_1_22",9
"inaug_JohnAdams_1_23",9
"inaug_JohnAdams_1_24",15
"inaug_JohnAdams_1_25",11
